ASSEMBLY_RUN,SAMPLE_NAME,ct_modified,Prefilt_reads,set,ASSEMBLY_QUALITY
FAP71825_01,PV44163,NA,2087,ALL,Passed
FAP71825_01,PV44164,NA,5315,ALL,Passed
FAP71825_01,PV44166,NA,394,ALL,Failed
FAP71825_01,PV44168,NA,1075,ALL,Passed
FAP71825_01,PV44170,NA,1174,ALL,Passed
FAP71825_01,PV44171,NA,1889,ALL,Passed
FAP71825_01,PV44172,NA,430,ALL,Passed
FAP71825_01,PV44173,NA,958,ALL,Passed
FAP71825_01,PV44174,NA,181,ALL,Failed
FAP71825_01,PV44175,NA,213,ALL,Failed
FAP53037_FAP71150_01,PV44252,20.231433295,170,ALL,Failed
FAP53037_FAP71150_01,PV44284,NA,133,ALL,Failed
FAP53037_FAP71150_01,PV44340,30.24785807,419,BM,Passed
FAP53037_FAP71150_01,PV44341,20.773357415,937,ALL,Passed
FAP69955_01,PV44349,23.327082490000002,136,ALL,Failed
FAP69955_01,PV44360,19.204323825,12188,ALL,Passed
FAP69955_01,PV44362,22.43573086,895,ALL,Passed
FAP69955_01,PV44369,19.686919365,33414,ALL,Passed
FAP69955_01,PV44376,38.300776315,200,ALL,Passed
FAP69955_01,PV44377,20.874776245,10064,ALL,Passed
FAP69955_01,PV44383,20.400361320000002,3781,ALL,Passed
FAP69955_01,PV44394,NA,899,ALL,Passed
FAP69955_01,PV44400,23.660228609999997,7792,ALL,Passed
FAP69955_01,PV44403,26.639598675000002,199,ALL,Failed
FAP69955_01,PV44409,26.804475605,356,ALL,Passed
FAP69955_01,PV44427,15.422705754999999,6457,ALL,Passed
FAP69955_01,PV44430,26.632261405,632,ALL,Passed
FAP71084_01,PV44440,34.767429565,288,BM,Passed
FAP71084_01,PV44441,27.683082159999998,1346,ALL,Passed
FAP71084_01,PV44442,20.23264295,4583,ALL,Passed
FAP71084_01,PV44443,24.23429106,3814,ALL,Passed
FAP71084_01,PV44444,30.16517696,597,ALL,Passed
FAP71084_01,PV44445,NA,6404,ALL,Passed
FAP71084_01,PV44447,25.22119002,466,ALL,Passed
FAP71084_01,PV44448,29.667405520000003,1042,BM,Passed
FAP71084_01,PV44449,22.688896370000002,925,BM,Passed
FAP71084_01,PV44452,31.98708355,135,BM,Failed
FAP71084_01,PV44454,NA,2931,BM,Passed
FAP71084_01,PV44455,NA,431,BM,Passed
FAP71084_01,PV44456,NA,593,ALL,Passed
FAP71084_01,PV44458,17.822732015,809,ALL,Failed
FAP71084_01,PV44459,22.317507355,255,ALL,Passed
FAP71084_01,PV44460,19.381617679999998,333,BM,Failed
FAP71084_01,PV44461,27.262336634999997,202,ALL,Failed
FAP71084_01,PV44462,24.63993098,4856,ALL,Passed
FAP71084_01,PV44466,25.441780105,4245,ALL,Passed
FAP71084_01,PV44467,22.425244615,2778,ALL,Passed
FAP71084_01,PV44468,16.524967145,5507,ALL,Passed
FAP71084_01,PV44473,17.563025770000003,5318,ALL,Passed
FAP71084_01,PV44474,26.984661385,877,ALL,Passed
FAP71084_01,PV44475,22.07007037,7046,ALL,Passed
FAP71084_01,PV44476,22.4878062,2391,ALL,Passed
FAP72115_01,PV44476_P1,NA,1753,BM,Passed
FAP71084_01,PV44478,24.1407143,325,ALL,Passed
FAP71084_01,PV44479,22.956294659999998,355,ALL,Passed
FAP71084_01,PV44481,29.675604295,366,ALL,Passed
FAP71084_01,PV44482,20.26920079,4101,ALL,Passed
FAP71084_01,PV44483,14.31740715,5562,ALL,Passed
FAP71084_01,PV44484,26.625463925,838,ALL,Passed
FAP71084_01,PV44485,32.747523369999996,173,ALL,Failed
FAP69881_01,PV44486,NA,4919,ALL,Passed
FAP69881_01,PV44487,25.145537595,2326,ALL,Passed
FAP69881_01,PV44488,24.720163125,16208,BM,Passed
FAP73476_01,PV44488_P1,NA,3742,BM,Passed
FAP72115_01,PV44488_P2,NA,5695,BM,Passed
FAR95226_01,PV44488_P3,NA,2423,BM,Passed
FAP69881_01,PV44489,18.261808809999998,257,ALL,Failed
FAP69881_01,PV44490,NA,1783,ALL,Passed
FAP69881_01,PV44491,NA,74,ALL,Failed
FAP69881_01,PV44492,29.841619520000002,1007,ALL,Passed
FAP69881_01,PV44493,17.90969262,5427,ALL,Passed
FAP69881_01,PV44494,20.8745471,5580,ALL,Passed
FAP69881_01,PV44495,NA,2247,ALL,Passed
FAP69881_01,PV44496,NA,24,ALL,Failed
FAP95402_01,PV44500,15.47631579,5864,BM,Passed
FAP95402_01,PV44501,19.904383365,5129,BM,Passed
FAP95402_01,PV44502,21.304872685,8654,BM,Passed
FAP95402_01,PV44503,NA,5013,BM,Passed
FAP95402_01,PV44504,NA,14466,BM,Passed
FAP95402_01,PV44505,25.23809613,1487,ALL,Passed
FAP95402_01,PV44506,27.373980065,838,BM,Passed
FAP95402_01,PV44508,NA,770,ALL,Passed
FAP95402_01,PV44509,19.814124874999997,1815,ALL,Passed
FAP95402_01,PV44510,21.7722865,2256,ALL,Passed
FAP95402_01,PV44511,22.19807338,1056,ALL,Passed
FAP95402_01,PV44512,26.891720895,2518,ALL,Passed
FAP95402_01,PV44514,22.919923654999998,311,ALL,Passed
FAP95402_01,PV44516,24.422496795,235,BM,Passed
FAP95402_01,PV44517,26.23861991,401,ALL,Passed
FAP95402_01,PV44518,23.506653890000003,1655,ALL,Passed
FAP95402_01,PV44519,15.23815478,943,ALL,Passed
FAP95402_01,PV44520,22.11383407,7148,BM,Passed
FAP95402_01,PV44522,19.029247545,4887,ALL,Passed
FAP95402_01,PV44523,20.486774355,6922,ALL,Passed
FAP95402_01,PV44524,17.128229095000002,6728,ALL,Passed
FAP95402_01,PV44529,25.598663775,1088,ALL,Passed
FAP95402_01,PV44530,24.592977689999998,835,ALL,Passed
FAP95402_01,PV44531,19.338351995,1114,ALL,Passed
FAP95402_01,PV44533,21.96640541,1458,ALL,Passed
FAP73476_01,PV44562,18.296861579999998,480,ALL,Passed
FAP73476_01,PV44563,17.06866112,339,ALL,Passed
FAP73476_01,PV44570,13.536926725,761,ALL,Passed
FAP73476_01,PV44586,19.043441965,1411,ALL,Passed
FAP73476_01,PV44593,20.270003115,1743,ALL,Passed
FAP73476_01,PV44618,18.585048665000002,203,ALL,Passed
FAP73476_01,PV44622,18.565240915,329,ALL,Passed
FAP73476_01,PV44624,18.829374285,358,ALL,Passed
FAP73476_01,PV44703,NA,415,ALL,Passed
FAP73476_01,PV44704,NA,2948,ALL,Passed
FAP73476_01,PV44706,NA,711,ALL,Passed
FAP73476_01,PV44707,NA,242,BM,Passed
FAP73476_01,PV44708,NA,3413,BM,Passed
FAP73476_01,PV44709,NA,746,ALL,Passed
FAP73476_01,PV44710,15.16480328,1018,ALL,Passed
