clade_who,lineage_display.final,ASSEMBLY_PIPELINE,week,n,Frequency
Omicron,BQ.1.1,SpikeID,2022-10-30,30,0.1935483870967742
Omicron,BQ.1.1,SpikeID,2022-10-02,1,0.07692307692307693
Omicron,BQ.1.1,SpikeID,2023-02-05,4,0.0851063829787234
Omicron,BQ.1.1,SpikeID,2022-10-23,2,1
Omicron,BQ.1.1,SpikeID,2022-11-27,23,0.2987012987012987
Omicron,DV.7.1.4,SpikeID,2023-10-22,1,0.0196078431372549
Omicron,DV.7.1.4,SpikeID,2023-09-10,4,0.05063291139240506
Omicron,DV.7.1.4,SpikeID,2023-09-03,1,0.015873015873015872
Omicron,DV.7.1.4,SpikeID,2023-10-08,1,0.014492753623188406
Omicron,EE.5,SpikeID,2022-10-30,6,0.03870967741935484
Omicron,EE.5,SpikeID,2022-11-06,1,0.009615384615384616
Omicron,EE.5,SpikeID,2022-11-27,3,0.03896103896103896
Omicron,EG.5.1,SpikeID,2023-07-09,1,0.07142857142857142
Omicron,EG.5.1,SpikeID,2023-10-22,25,0.49019607843137253
Omicron,EG.5.1,SpikeID,2023-06-25,1,0.08333333333333333
Omicron,EG.5.1,SpikeID,2023-12-31,4,0.0851063829787234
Omicron,EG.5.1,SpikeID,2023-08-27,16,0.21052631578947367
Omicron,EG.5.1,SpikeID,2023-08-13,10,0.22727272727272727
Omicron,EG.5.1,SpikeID,2023-11-19,12,0.7058823529411765
Omicron,EG.5.1,SpikeID,2023-11-05,11,0.5238095238095238
Omicron,EG.5.1,SpikeID,2023-10-15,20,0.47619047619047616
Omicron,EG.5.1,SpikeID,2023-10-29,29,0.725
Omicron,EG.5.1,SpikeID,2023-07-30,2,0.08333333333333333
Omicron,EG.5.1,SpikeID,2023-05-07,1,0.043478260869565216
Omicron,EG.5.1,SpikeID,2023-12-10,9,0.5294117647058824
Omicron,EG.5.1,SpikeID,2023-08-20,10,0.15151515151515152
Omicron,EG.5.1,SpikeID,2023-09-10,27,0.34177215189873417
Omicron,EG.5.1,SpikeID,2023-09-17,10,0.30303030303030304
Omicron,EG.5.1,SpikeID,2023-12-03,5,0.35714285714285715
Omicron,EG.5.1,SpikeID,2023-10-08,31,0.4492753623188406
Omicron,EG.5.1,SpikeID,2023-07-16,2,0.11764705882352941
Omicron,EG.5.1,SpikeID,2023-09-24,9,0.42857142857142855
Omicron,EG.5.1,SpikeID,2023-07-23,1,0.047619047619047616
Omicron,EG.5.1,SpikeID,2023-11-26,3,0.375
Omicron,EG.5.1,SpikeID,2023-12-17,1,0.14285714285714285
Omicron,EG.5.1,SpikeID,2023-12-24,4,0.10526315789473684
Omicron,EG.5.1,SpikeID,2023-10-01,25,0.6097560975609756
Omicron,EG.5.1,SpikeID,2023-09-03,20,0.31746031746031744
Omicron,EZ.1,SpikeID,2023-02-26,1,0.04
Omicron,FK.1.1,SpikeID,2023-05-07,1,0.043478260869565216
Omicron,JN.1,SpikeID,2023-12-03,7,0.5
Omicron,JN.1,SpikeID,2024-01-07,10,1
Omicron,JN.1,SpikeID,2023-12-31,38,0.8085106382978723
Omicron,JN.1,SpikeID,2023-10-22,1,0.0196078431372549
Omicron,JN.1,SpikeID,2023-11-05,2,0.09523809523809523
Omicron,JN.1,SpikeID,2023-11-19,4,0.23529411764705882
Omicron,JN.1,SpikeID,2023-12-24,33,0.868421052631579
Omicron,JN.1,SpikeID,2023-12-10,7,0.4117647058823529
Omicron,JN.1,SpikeID,2023-12-17,4,0.5714285714285714
Omicron,JN.1,SpikeID,2023-11-26,4,0.5
Omicron,JN.1,SpikeID,2023-10-08,3,0.043478260869565216
Omicron,XBB,SpikeID,2022-11-06,9,0.08653846153846154
Omicron,XBB,SpikeID,2023-01-15,4,0.05714285714285714
Omicron,XBB,SpikeID,2023-10-01,1,0.024390243902439025
Omicron,XBB,SpikeID,2023-09-24,1,0.047619047619047616
Omicron,XBB,SpikeID,2022-10-30,12,0.07741935483870968
Omicron,XBB,SpikeID,2023-05-28,1,0.125
Omicron,XBB,SpikeID,2023-08-20,9,0.13636363636363635
Omicron,XBB,SpikeID,2023-01-29,1,0.01282051282051282
Omicron,XBB,SpikeID,2023-06-04,1,0.047619047619047616
